value
177.74
175.93
173.84
174.54
168.41
169.1
168.63
170.94
175.5
174.86
174.35
174.26
175.4
172.91
173.05
174.1
176.6
173.08
170.99
171.26
170.99
173.29
175.01
175.94
176.7
175.94
175.93
176.04
178.5
177.77
176.3
178.23
175.71
177.27
177.7
179.29
177.03
176.57
176.77
171.91
171.0
171.15
172.09
167.68
168.53
161.54
164.43
165.83
165.06
162.82
159.19
159.63
160.86
162.07
158.21
158.01
156.5
155.83
154.14
148.64
147.62
146.75
144.38
143.7
150.51
148.65
144.75
147.22
148.3
146.73
143.28
145.4
146.6
143.93
140.96
143.48
144.31
145.51
147.69
148.32
148.58
149.94
147.68
148.98
150.46
149.47
152.08
151.43
148.88
148.88
170.42
171.18
156.43
157.46
151.92
149.68
156.38
155.55
160.28
166.53
168.51
167.6
166.61
162.89
162.44
161.83
162.59
159.61
155.5
160.51
162.06
163.78
163.98
164.0
163.42
163.75
163.19
167.79
173.18
171.33
172.9
174.38
173.74
175.38
174.47
173.29
168.4
166.17
161.39
160.92
158.74
158.93
173.11
175.32
171.9
177.06
179.82
183.54
184.16
184.04
185.85
187.87
194.0
196.4
195.51
191.81
192.35
197.98
198.38
195.71
194.88
192.44
188.95
188.35
193.71
194.54
178.06
180.31
179.89
172.95
159.13
160.05
168.65
169.6
167.9
172.79
176.04
180.61
186.97
190.72
189.09
191.33
186.02
188.89
190.28
189.7
190.94
189.76
187.0
187.0
209.13
210.6
199.21
198.5
197.85
188.19
202.38
198.49
205.88
208.83
211.03
207.56
205.06
197.4
195.5
195.43
190.79
192.63
188.48
199.52
201.69
204.22
203.17
206.13
203.66
202.71
201.32
207.86
213.63
213.07
211.34
215.5
209.31
216.02
217.45
223.9
225.96
225.01
217.08
214.19
205.44
204.2
204.1
194.27
189.75
190.57
200.24
208.34
207.52
206.39
206.45
211.92
213.27
215.86
218.75
212.3
210.04
217.73
218.93
213.58
209.03
198.74
196.42
198.43
201.48
205.34
194.91
197.81
188.85
180.84
169.17
173.8
178.56
178.39
176.23
175.52
179.89
188.99
190.19
192.83
185.9
191.04
186.04
189.05
188.95
188.16
193.8
194.91
191.5
191.5
204.34
206.07
197.77
194.97
192.42
190.55
195.84
196.84
200.31
203.5
203.2
203.14
202.48
200.28
200.67
201.57
205.17
200.4
194.52
197.35
201.17
205.2
205.38
205.62
206.33
205.08
205.74
206.0
217.03
218.69
220.92
223.11
220.57
218.89
221.33
225.9
227.83
228.76
221.66
216.63
214.09
214.33
214.31
214.29
212.17
201.16
201.56
205.35
204.94
200.59
198.41
199.82
201.5
203.6
203.07
201.24
199.89
203.41
203.64
194.74
191.95
191.21
186.67
184.69
187.06
187.58
182.83
192.61
194.85
195.66
196.7
210.0
209.78
211.79
214.83
215.44
216.46
216.08
221.7
220.91
223.71
222.71
222.17
222.21
223.36
221.85
221.04
223.08
222.82
222.82
55.03
54.59
52.91
53.75
52.05
51.9
52.67
53.13
54.49
54.79
54.58
54.44
